fipscode,county,state,dem_votes,rep_votes,other_votes
23029,Columbia Falls,Massachusetts,93,145,13
39029,Columbiana,Ohio,11625,22846,1159
06011,Colusa,California,1999,3764,
48091,Comal,Texas,14145,46635,1015
20033,Comanche,Kansas,170,453,92
40031,Comanche,Oklahoma,12336,13180,1027
48093,Comanche,Texas,657,3906,50
48095,Concho,Texas,145,825,13
33013,Concord,Nebraska,10176,7244,250
50009,Concord,Vermont,83,293,31
01035,Conecuh,Alabama,2444,2473,7
08021,Conejos,Colorado,1652,1756,133
06013,Contra Costa,California,283805,132345,
56009,Converse,Wyoming,757,3872,310
05029,Conway,Arkansas,1966,4339,160
33003,Conway,Nebraska,2117,1871,50
13075,Cook,Georgia,1667,4116,20
27031,Cook,Minnesota,2054,1009,128
00000,Cook Suburbs,Illinois,1262334,426196,68053
48097,Cooke,Texas,2054,12294,164
23029,Cooper,Massachusetts,33,54,4
41011,Coos,Oregon,9622,16520,2585
01037,Coosa,Alabama,1522,2785,7
23007,Coplin Plt.,Massachusetts,39,32,10
23019,Corinna,Massachusetts,286,556,33
23019,Corinth,Massachusetts,293,786,54
50017,Corinth,Vermont,199,369,35
23031,Cornish,Massachusetts,309,376,33
33019,Cornish,Nebraska,481,379,11
23025,Cornville,Massachusetts,240,317,21
09005,Cornwall,Connecticut,532,251,84
50001,Cornwall,Vermont,336,346,17
46031,Corson,South Dakota,667,426,17
48099,Coryell,Texas,4392,11281,258
39031,Coshocton,Ohio,3738,7768,414
08023,Costilla,Colorado,1012,510,87
48101,Cottle,Texas,88,468,3
40033,Cotton,Oklahoma,598,1312,95
27033,Cottonwood,Minnesota,2045,2843,131
09013,Coventry,Connecticut,2491,3044,744
44003,Coventry,Rhode Island,5467,7003,1633
50019,Coventry,Vermont,108,269,17
01039,Covington,Alabama,2168,9852,
